=== Video Duration Debug Log - Worker 3 ===
Started: 2025-09-04 17:41:22.343685
Format: [TIMESTAMP] RESOURCE_NAME | URL | RAW_HTML_ELEMENT | EXTRACTED_DURATION
[17:45:03] Le Chȃtelier’s principle: Changing concentration | https://www.khanacademy.org/test-prep/mcat/chemical-processes/equilibrium-mcat/v/le-chateliers-principle-changing-concentration | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:38</span> | 8.6 minutes
[17:45:14] Le Chȃtelier’s principle: Changing volume | https://www.khanacademy.org/test-prep/mcat/chemical-processes/equilibrium-mcat/v/le-chateliers-principle-changing-volume | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:09</span> | 11.2 minutes
[17:45:31] Le Chȃtelier’s principle: Changing temperature | https://www.khanacademy.org/test-prep/mcat/chemical-processes/equilibrium-mcat/v/le-chateliers-principle-changing-temperature | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:16</span> | 11.3 minutes
[17:45:47] Changes in free energy and the reaction quotient | https://www.khanacademy.org/test-prep/mcat/chemical-processes/equilibrium-mcat/v/changes-in-free-energy-and-the-reaction-quotient | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:15:47</span> | 15.8 minutes
[17:45:57] Standard change in free energy and the equilibrium constant | https://www.khanacademy.org/test-prep/mcat/chemical-processes/equilibrium-mcat/v/standard-change-in-free-energy-and-the-equilibrium-constant | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:46</span> | 10.8 minutes
[17:46:05] Galvanic cells and changes in free energy | https://www.khanacademy.org/test-prep/mcat/chemical-processes/equilibrium-mcat/v/galvanic-cells-and-changes-in-free-energy | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:38</span> | 12.6 minutes
[17:46:17] An analogy for Gibbs free energy | https://www.khanacademy.org/test-prep/mcat/chemical-processes/bioenergetics/v/gibbs-free-energy-an-analogy | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:19</span> | 9.3 minutes
[17:46:22] Bioenergetics: The transformation of free energy in living systems | https://www.khanacademy.org/test-prep/mcat/chemical-processes/bioenergetics/v/bioenergetics-the-transformation-of-free-energy-in-living-systems | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:42</span> | 7.7 minutes
[17:46:29] Why we need metabolism? | https://www.khanacademy.org/test-prep/mcat/chemical-processes/bioenergetics/v/why-we-need-metabolism | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:42</span> | 7.7 minutes
[17:46:36] Insulin and glucagon | https://www.khanacademy.org/test-prep/mcat/chemical-processes/bioenergetics/v/insulin-and-glucagon | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:43</span> | 11.7 minutes
[17:46:44] Tissue specific metabolism and the metabolic states | https://www.khanacademy.org/test-prep/mcat/chemical-processes/bioenergetics/v/tissue-specific-metabolism-and-the-metabolic-states | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:29</span> | 12.5 minutes
[17:46:58] Specific heat and latent heat of fusion and vaporization | https://www.khanacademy.org/test-prep/mcat/chemical-processes/thermodynamics-mcat/v/specific-heat-and-latent-leat-of-fusion-and-vaporization-2 | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:14:57</span> | 14.9 minutes
[17:47:04] Zeroth law of thermodynamics | https://www.khanacademy.org/test-prep/mcat/chemical-processes/thermodynamics-mcat/v/zeroth-law-of-thermodynamics | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:12</span> | 6.2 minutes
[17:47:13] First law of thermodynamics equation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/thermodynamics-mcat/v/first-law-of-thermodynamics | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:23</span> | 11.4 minutes
[17:47:21] First law of thermodynamics problem solving | https://www.khanacademy.org/test-prep/mcat/chemical-processes/thermodynamics-mcat/v/first-law-of-thermodynamics-problem-solving | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:34</span> | 7.6 minutes
[17:47:28] PV diagrams - part 1: Work and isobaric processes | https://www.khanacademy.org/test-prep/mcat/chemical-processes/thermodynamics-mcat/v/pv-diagrams-part-1-work-and-isobaric-processes | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:54</span> | 11.9 minutes
[17:47:35] PV diagrams - part 2: Isothermal, isometric, adiabatic processes | https://www.khanacademy.org/test-prep/mcat/chemical-processes/thermodynamics-mcat/v/pv-diagrams-part-2-isothermal-isometric-adiabatic-processes | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:13:00</span> | 13.0 minutes
[17:47:44] Second law of thermodynamics | https://www.khanacademy.org/test-prep/mcat/chemical-processes/thermodynamics-mcat/v/second-law-of-thermodynamics | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:13:41</span> | 13.7 minutes
