=== Video Duration Debug Log - Worker 0 ===
Started: 2025-09-04 17:41:22.335733
Format: [TIMESTAMP] RESOURCE_NAME | URL | RAW_HTML_ELEMENT | EXTRACTED_DURATION
[17:43:56] Titration of a weak base with a strong acid | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/titration-of-a-weak-base-with-a-strong-acid | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:14:58</span> | 15.0 minutes
[17:44:01] Titration of a weak base with a strong acid (continued) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/titration-of-a-weak-base-with-a-strong-acid-continued | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:14:48</span> | 14.8 minutes
[17:44:13] Titration curves and acid-base indicators | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/titration-curves-and-acid-base-indicators | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:10</span> | 7.2 minutes
[17:44:20] Redox titrations | https://www.khanacademy.org/test-prep/mcat/chemical-processes/titrations-and-solubility-equilibria/v/redox-titration | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:7:58</span> | 8.0 minutes
[17:44:27] Common polyatomic ions | https://www.khanacademy.org/test-prep/mcat/chemical-processes/solubility-equilibria-mcat/v/common-polyatomic-ions | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:48</span> | 5.8 minutes
[17:44:34] Dissolution and precipitation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/solubility-equilibria-mcat/v/dissolution-and-precipitation | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:00</span> | 10.0 minutes
[17:44:39] Introduction to solubility equilibria | https://www.khanacademy.org/test-prep/mcat/chemical-processes/solubility-equilibria-mcat/v/solubility-product-constant-from-the-solubility | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:17</span> | 8.3 minutes
[17:44:45] Worked example: Calculating solubility from Kₛₚ | https://www.khanacademy.org/test-prep/mcat/chemical-processes/solubility-equilibria-mcat/v/solubility-from-the-solubility-product-constant | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:4:52</span> | 4.9 minutes
[17:44:52] The common-ion effect | https://www.khanacademy.org/test-prep/mcat/chemical-processes/solubility-equilibria-mcat/v/solubility-and-the-common-ion-effect | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:08</span> | 10.1 minutes
[17:44:59] pH and solubility | https://www.khanacademy.org/test-prep/mcat/chemical-processes/solubility-equilibria-mcat/v/solubility-and-the-ph-of-the-solution | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:14</span> | 5.2 minutes
[17:45:08] Solubility and complex ion formation | https://www.khanacademy.org/test-prep/mcat/chemical-processes/solubility-equilibria-mcat/v/solubility-and-complex-ion-formation | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:14:50</span> | 14.8 minutes
[17:45:17] Drawing dot structures | https://www.khanacademy.org/test-prep/mcat/chemical-processes/dot-structures/v/drawing-dot-structures | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:14:42</span> | 14.7 minutes
[17:45:31] Formal charge and dot structures | https://www.khanacademy.org/test-prep/mcat/chemical-processes/dot-structures/v/formal-charge-and-dot-structures | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:11:30</span> | 11.5 minutes
[17:45:47] Resonance and dot structures | https://www.khanacademy.org/test-prep/mcat/chemical-processes/dot-structures/v/resonance-and-dot-structures | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:6:15</span> | 6.2 minutes
[17:45:56] VSEPR for 2 electron clouds | https://www.khanacademy.org/test-prep/mcat/chemical-processes/dot-structures/v/vsepr-for-2-electron-clouds | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:04</span> | 8.1 minutes
[17:46:04] VSEPR for 3 electron clouds | https://www.khanacademy.org/test-prep/mcat/chemical-processes/dot-structures/v/vsepr-for-3-electron-clouds | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:33</span> | 12.6 minutes
[17:46:13] VSEPR for 4 electron clouds | https://www.khanacademy.org/test-prep/mcat/chemical-processes/dot-structures/v/vsepr-for-4-electron-clouds | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:05</span> | 10.1 minutes
[17:46:20] VSEPR for 5 electron clouds (part 1) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/dot-structures/v/vsepr-for-5-electron-clouds | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:14:58</span> | 15.0 minutes
[17:46:25] VSEPR for 5 electron clouds (part 2) | https://www.khanacademy.org/test-prep/mcat/chemical-processes/dot-structures/v/vsepr-for-5-electron-clouds-continued | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:10:48</span> | 10.8 minutes
[17:46:32] VSEPR for 6 electron clouds | https://www.khanacademy.org/test-prep/mcat/chemical-processes/dot-structures/v/vsepr-for-6-electron-clouds | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:12:29</span> | 12.5 minutes
[17:46:42] Structural (constitutional) isomers | https://www.khanacademy.org/test-prep/mcat/chemical-processes/stereochemistry/v/structural-constitutional-isomers-new | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:52</span> | 9.9 minutes
[17:46:51] Chiral vs  achiral | https://www.khanacademy.org/test-prep/mcat/chemical-processes/stereochemistry/v/chiral-achiral-jay | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:4:17</span> | 4.3 minutes
[17:47:00] Stereoisomers, enantiomers, and chirality centers | https://www.khanacademy.org/test-prep/mcat/chemical-processes/stereochemistry/v/stereoisomer-enantiomer-jay | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:28</span> | 5.5 minutes
[17:47:06] Identifying chirality centers | https://www.khanacademy.org/test-prep/mcat/chemical-processes/stereochemistry/v/chirality-center-jay | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:08</span> | 8.1 minutes
[17:47:13] R,S system | https://www.khanacademy.org/test-prep/mcat/chemical-processes/stereochemistry/v/rs-system-new | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:47</span> | 9.8 minutes
[17:47:21] R,S system practice | https://www.khanacademy.org/test-prep/mcat/chemical-processes/stereochemistry/v/rs-system-practice-new | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:44</span> | 8.7 minutes
[17:47:27] Optical activity | https://www.khanacademy.org/test-prep/mcat/chemical-processes/stereochemistry/v/optical-activity-new | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:9:02</span> | 9.0 minutes
[17:47:33] Enantiomers and diastereomers | https://www.khanacademy.org/test-prep/mcat/chemical-processes/stereochemistry/v/enantiomers-and-diastereomers | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:8:09</span> | 8.2 minutes
[17:47:39] Cis–trans isomerism | https://www.khanacademy.org/test-prep/mcat/chemical-processes/stereochemistry/v/cis-trans-isomerism | <span class="sr-only" data-testid="video-time-hidden">Current time:0:00Total duration:5:24</span> | 5.4 minutes
